TM;Category;unknown;Quantity
2018-09-12 00:01:00;Iota;636723072600000000;140
2011-02-19 00:01:00;Eta;6.34337E+017;862
2014-05-21 00:01:00;Chi;635362272600000000;877
2014-07-18T00:01:00.0000000;Epsilon;635,412,384,600,000,000.00000000;48
06-11-2012 12:01 AM;Omega;6.347496966E+17;447
06-13-2010 12:01 AM;Alpha;6.341198406E+17;721
12-17-2014 12:01 AM;Gamma;6.355437126E+17;351
2019-04-02T00:01:00.0000000;Iota;636,897,600,600,000,000.00000000;295
08-08-2016 12:01 AM;Mu;6.360621126E+17;950
09-08-2017 12:01 AM;Gamma;6.364042566E+17;942
2014-07-15 00:01:00;Nu;635409792600000000;103
2017-08-08 00:01:00;Omega;636377472600000000;36
01-16-2018 12:01 AM;Epsilon;6.365165766E+17;258
2018-11-03 00:02:00;Iota;636768001200000000;705
2012-11-10 00:01:00;Phi;634881024600000000;221
2010-11-16T00:01:00.0000000;Rho;634,254,624,600,000,000.00000000;972
2018-04-22T00:01:00.0000000;Eta;636,599,520,600,000,000.00000000;400
08-10-2015 12:03 AM;Omicron;6.357476178E+17;854
2012-06-18 00:01:00;Eta;634755744600000000;8
2019-09-15 00:01:00;Theta;637041024600000000;342
06-08-2013 12:01 AM;Zeta;6.350624646E+17;142
2013-07-22 00:02:00;Phi;635100481200000000;7
11-17-2019 12:01 AM;Omicron;6.370954566E+17;322
07-29-2018 12:02 AM;Xi;6.366841932E+17;505
2015-01-16 00:01:00;Nu;635569632600000000;590
2018-11-15 00:01:00;Eta;6.36778E+017;582
04-16-2012 12:02 AM;Psi;6.347013132E+17;278
2013-01-01T00:01:00.0000000;Gamma;634,925,952,600,000,000.00000000;357
2016-10-07T00:01:00.0000000;Zeta;636,113,952,600,000,000.00000000;6
2010-12-17 00:01:00;Xi;634281408600000000;496
2019-08-21 00:01:00;Epsilon;637019424600000000;953
2018-04-10 00:03:00;Omega;6.36589E+017;925
2011-07-29 00:01:00;Chi;634474944600000000;174
09-28-2012 12:01 AM;Zeta;6.348438726E+17;633
03-30-2018 12:02 AM;Lambda;6.365796492E+17;616
2012-01-21 00:01:00;Sigma;634627008600000000;143
2012-07-22T00:02:00.0000000;Tau;634,785,121,200,000,000.00000000;891
2017-10-03 00:01:00;Delta;636425856600000000;138
2016-12-23 00:02:00;Rho;636180481200000000;816
2018-06-23 00:01:00;Upsilon;6.36653E+017;611
2017-06-26 00:01:00;Psi;6.36340E+017;122
02-14-2019 12:01 AM;Eta;6.368569926E+17;690
2012-04-03 00:01:00;Phi;634690080600000000;404
02-01-2019 12:01 AM;Upsilon;6.368457606E+17;313
10-31-2019 12:01 AM;Alpha;6.370807686E+17;344
2017-07-08T00:01:00.0000000;Iota;636,350,688,600,000,000.00000000;192
2019-06-10 00:01:00;Omega;636957216600000000;782
04-16-2011 12:01 AM;Nu;6.343850886E+17;113
02-03-2011 12:01 AM;Lambda;6.343228806E+17;321
04-05-2016 12:01 AM;Iota;6.359541126E+17;303
2019-05-14 00:01:00;Beta;6.36934E+017;429
10-26-2019 12:01 AM;Omega;6.370764486E+17;942
09-21-2014 12:02 AM;Nu;6.354685452E+17;234
12-06-2017 12:02 AM;Xi;6.364811532E+17;7
08-05-2016 12:02 AM;Omega;6.360595212E+17;134
2013-08-27 00:02:00;Chi;635131585200000000;628
2013-06-14 00:03:00;Zeta;635067649800000000;14
2016-07-14 00:02:00;Theta;6.36041E+017;451
06-05-2014 12:01 AM;Upsilon;6.353752326E+17;958
2017-11-14 00:02:00;Sigma;636462145200000000;380
2016-01-15 00:02:00;Kappa;6.35884E+017;944
10-15-2018 12:01 AM;Sigma;6.367515846E+17;810
2012-10-27 00:01:00;Upsilon;6.34869E+017;5
2019-04-21T00:01:00.0000000;Rho;636,914,016,600,000,000.00000000;915
07-03-2016 12:01 AM;Kappa;6.360310086E+17;608
08-17-2019 12:01 AM;Pi;6.370159686E+17;531
2011-02-12T00:02:00.0000000;Beta;634,330,657,200,000,000.00000000;696
2019-06-30T00:02:00.0000000;Upsilon;636,974,497,200,000,000.00000000;690
01-25-2014 12:01 AM;Iota;6.352620486E+17;930
2019-10-23 00:01:00;Beta;6.37074E+017;707
2010-07-24 00:02:00;Mu;634155265200000000;920
2017-05-15 00:02:00;Eta;636304033200000000;590
2018-01-27 00:03:00;Pi;6.36526E+017;435
2014-09-05 00:01:00;Rho;635454720600000000;309
2012-09-21 00:02:00;Nu;6.34838E+017;333
06-22-2019 12:01 AM;Phi;6.369675846E+17;586
12-11-2011 12:01 AM;Beta;6.345915846E+17;146
06-21-2015 12:01 AM;Rho;6.357044166E+17;442
06-04-2018 12:03 AM;Xi;6.366366738E+17;700
04-19-2017 12:02 AM;Delta;6.362815692E+17;715
07-26-2014 12:01 AM;Kappa;6.354192966E+17;348
2018-07-06 00:02:00;Beta;636664321200000000;531
12-26-2011 12:02 AM;Alpha;6.346045452E+17;370
2018-08-10T00:02:00.0000000;Rho;636,694,561,200,000,000.00000000;925
01-02-2011 12:01 AM;Zeta;6.342952326E+17;367
2014-10-02 00:03:00;Mu;6.35478E+017;838
2019-12-07 00:02:00;Chi;637112737200000000;506
2014-02-26 00:02:00;Psi;6.35290E+017;351
09-03-2019 12:01 AM;Zeta;6.370306566E+17;676
2013-06-12T00:01:00.0000000;Psi;635,065,920,600,000,000.00000000;299
02-14-2014 12:02 AM;Theta;6.352793292E+17;493
2012-05-26 00:01:00;Kappa;634735872600000000;271
03-16-2015 12:03 AM;Beta;6.356206098E+17;130
10-04-2015 12:02 AM;Omega;6.357951372E+17;954
2016-09-20T00:01:00.0000000;Zeta;636,099,264,600,000,000.00000000;288
2017-12-30 00:02:00;Mu;636501889200000000;782
10-15-2018 12:01 AM;Nu;6.367515846E+17;743
01-24-2014 12:02 AM;Eta;6.352611852E+17;742
2015-11-17T00:02:00.0000000;Theta;635,833,153,200,000,000.00000000;98
2014-06-23 00:03:00;Delta;635390785800000000;199
2010-08-20 00:01:00;Gamma;634178592600000000;696
2016-03-17 00:03:00;Tau;635937697800000000;905
