TM;Category;unknown;Quantity
02-15-2019 12:01 AM;Rho;6.368578566E+17;57
2016-12-07 00:02:00;Zeta;6.36167E+017;896
2015-03-07 00:01:00;Mu;635612832600000000;322
10-08-2013 12:01 AM;Rho;6.351678726E+17;188
2011-04-07T00:01:00.0000000;Psi;634,377,312,600,000,000.00000000;348
2013-11-26 00:01:00;Mu;635210208600000000;974
2018-01-10 00:01:00;Sigma;6.36511E+017;487
2014-12-24 00:01:00;Rho;635549760600000000;209
10-18-2017 12:01 AM;Nu;6.364388166E+17;734
2015-12-11 00:01:00;Iota;6.35854E+017;372
2013-08-28 00:01:00;Iota;635132448600000000;609
04-10-2014 12:01 AM;Sigma;6.353268486E+17;100
2016-11-28 00:01:00;Pi;636158880600000000;617
2013-09-08 00:01:00;Lambda;635141952600000000;267
01-28-2013 12:01 AM;Delta;6.349492806E+17;332
2016-07-26 00:01:00;Omega;636050880600000000;540
2017-11-11T00:02:00.0000000;Mu;636,459,553,200,000,000.00000000;82
05-26-2011 12:01 AM;Delta;6.344196486E+17;787
2010-02-13 00:01:00;Chi;634016160600000000;117
09-27-2012 12:01 AM;Pi;6.348430086E+17;452
2018-12-01 00:01:00;Kappa;6.36792E+017;109
2017-05-30 00:01:00;Upsilon;636316992600000000;646
2014-08-18 00:01:00;Beta;635439168600000000;289
09-24-2012 12:02 AM;Alpha;6.348404172E+17;193
2012-03-06 00:01:00;Theta;6.34666E+017;266
2010-07-08 00:01:00;Upsilon;634141440600000000;63
2019-12-13 00:01:00;Eta;637117920600000000;781
12-02-2014 12:01 AM;Delta;6.355307526E+17;454
2019-08-01 00:03:00;Rho;637002145800000000;743
2014-08-21T00:01:00.0000000;Eta;635,441,760,600,000,000.00000000;77
2016-04-30 00:02:00;Beta;635975713200000000;851
07-11-2014 12:02 AM;Sigma;6.354063372E+17;4
04-16-2018 12:02 AM;Sigma;6.365943372E+17;981
2017-10-05T00:02:00.0000000;Upsilon;636,427,585,200,000,000.00000000;491
2017-07-26T00:01:00.0000000;Lambda;636,366,240,600,000,000.00000000;912
2017-09-05 00:03:00;Iota;6.36402E+017;464
2011-09-14 00:01:00;Beta;634515552600000000;577
2019-10-22 00:01:00;Zeta;637072992600000000;267
2011-04-24 00:02:00;Omega;634392001200000000;57
02-25-2016 12:01 AM;Gamma;6.359195526E+17;589
2016-04-12 00:01:00;Psi;635960160600000000;68
2012-07-05T00:01:00.0000000;Iota;634,770,432,600,000,000.00000000;502
05-13-2015 12:01 AM;Epsilon;6.356707206E+17;501
2018-10-22 00:02:00;Mu;636757633200000000;766
2011-01-21 00:02:00;Tau;634311649200000000;21
2016-06-20 00:01:00;Xi;636019776600000000;526
07-28-2014 12:01 AM;Pi;6.354210246E+17;862
06-25-2019 12:02 AM;Sigma;6.369701772E+17;522
2010-12-02T00:01:00.0000000;Eta;634,268,448,600,000,000.00000000;746
06-09-2017 12:01 AM;Theta;6.363256326E+17;715
2013-04-01T00:01:00.0000000;Zeta;635,003,712,600,000,000.00000000;715
03-02-2015 12:01 AM;Zeta;6.356085126E+17;156
2010-02-14T00:02:00.0000000;Upsilon;634,017,025,200,000,000.00000000;456
03-08-2018 12:01 AM;Omega;6.365606406E+17;874
01-08-2015 12:01 AM;Nu;6.355627206E+17;736
2013-12-25 00:01:00;Iota;635235264600000000;931
2013-07-04 00:01:00;Iota;635084928600000000;324
2011-07-07T00:02:00.0000000;Rho;634,455,937,200,000,000.00000000;308
02-27-2015 12:02 AM;Epsilon;6.356059212E+17;722
2016-11-28 00:01:00;Xi;636158880600000000;718
2013-11-06T00:01:00.0000000;Sigma;635,192,928,600,000,000.00000000;907
10-23-2015 12:02 AM;Rho;6.358115532E+17;62
2015-11-03 00:02:00;Xi;635821057200000000;467
2011-02-09 00:01:00;Omega;634328064600000000;31
2019-10-19T00:01:00.0000000;Kappa;637,070,400,600,000,000.00000000;705
