TM;Category;unknown;Quantity
2012-03-22 00:01:00;Kappa;634679712600000000;433
07-27-2015 12:01 AM;Tau;6.357355206E+17;312
2019-11-23T00:01:00.0000000;Chi;637,100,640,600,000,000.00000000;198
2017-07-21 00:01:00;Pi;636361920600000000;87
02-22-2012 12:01 AM;Lambda;6.346546566E+17;268
11-07-2016 12:01 AM;Xi;6.361407366E+17;899
06-01-2014 12:01 AM;Mu;6.353717766E+17;777
2016-05-31 00:01:00;Gamma;636002496600000000;344
2010-07-15 00:01:00;Upsilon;634147488600000000;21
2010-02-05 00:01:00;Xi;6.34009E+017;964
09-30-2017 12:01 AM;Alpha;6.364232646E+17;781
2019-12-08 00:02:00;Nu;637113601200000000;120
11-25-2011 12:01 AM;Phi;6.345777606E+17;286
2011-01-26T00:02:00.0000000;Psi;634,315,969,200,000,000.00000000;291
11-06-2016 12:01 AM;Theta;6.361398726E+17;743
04-20-2010 12:01 AM;Lambda;6.340731846E+17;311
2012-10-07 00:01:00;Alpha;634851648600000000;223
2010-10-07 00:01:00;Mu;634220064600000000;711
01-15-2012 12:01 AM;Xi;6.346218246E+17;988
2011-09-06 00:01:00;Psi;6.34509E+017;248
07-29-2013 12:01 AM;Omega;6.351065286E+17;855
03-23-2013 12:01 AM;Gamma;6.349959366E+17;30
07-09-2019 12:02 AM;Rho;6.369822732E+17;708
05-04-2017 12:01 AM;Beta;6.362945286E+17;301
04-16-2018 12:01 AM;Psi;6.365943366E+17;316
2010-06-03 00:01:00;Theta;634111200600000000;291
2015-01-30 00:01:00;Pi;635581728600000000;371
10-03-2010 12:01 AM;Rho;6.342166086E+17;49
2010-09-19 00:01:00;Gamma;634204512600000000;434
2018-01-17 00:02:00;Sigma;636517441200000000;449
2010-01-31 00:01:00;Nu;634004928600000000;356
2010-03-24T00:02:00.0000000;Beta;634,049,857,200,000,000.00000000;975
05-16-2013 12:01 AM;Tau;6.350425926E+17;280
2018-08-24 00:02:00;Epsilon;636706657200000000;995
