TM;Category;unknown;Quantity
2010-02-26T00:01:00.0000000;Delta;6.340273926E+17;462
2011-05-13T00:01:00.0000000;Gamma;634408416600000000;110
2012-02-01T00:01:00.0000000;Iota;6.346365126E+17;376
2010-09-04T00:01:00.0000000;Mu;634,191,552,600,000,000.00000000;529
2018-08-28T00:01:00.0000000;Gamma;636,710,112,600,000,000.00000000;350
2014-07-11T00:01:00.0000000;Xi;6.354063366E+17;624
2018-09-15T00:01:00.0000000;Sigma;636,725,664,600,000,000.00000000;382
2019-08-31T00:01:00.0000000;Epsilon;6.37028E+017;266
2010-12-14T00:01:00.0000000;Mu;6.342788166E+17;691
2010-10-05T00:02:00.0000000;Theta;634218337200000000;905
2017-05-24T00:01:00.0000000;Epsilon;6.363118086E+17;928
2014-06-02T00:01:00.0000000;Iota;6.353726406E+17;923
2014-01-10T00:01:00.0000000;Rho;6.352490886E+17;370
2011-11-07T00:01:00.0000000;Gamma;6.345622086E+17;542
2014-09-17T00:02:00.0000000;Xi;6.354650892E+17;487
2015-04-01T00:01:00.0000000;Theta;6.35634E+017;336
2015-11-25T00:01:00.0000000;Upsilon;6.358400646E+17;962
2011-08-13T00:01:00.0000000;Omicron;634,487,904,600,000,000.00000000;50
2018-07-03T00:01:00.0000000;Phi;636,661,728,600,000,000.00000000;583
2014-02-21T00:01:00.0000000;Gamma;635,285,376,600,000,000.00000000;206
2013-07-21T00:01:00.0000000;Kappa;635099616600000000;881
2017-11-03T00:01:00.0000000;Epsilon;6.364526406E+17;223
2015-07-11T00:01:00.0000000;Iota;635721696600000000;125
2018-04-01T00:01:00.0000000;Phi;636581376600000000;914
2011-11-17T00:01:00.0000000;Epsilon;6.34571E+017;393
2019-05-27T00:01:00.0000000;Theta;636,945,120,600,000,000.00000000;991
2014-09-11T00:01:00.0000000;Mu;635459904600000000;128
2011-01-28T00:03:00.0000000;Psi;634317697800000000;392
2014-06-28T00:01:00.0000000;Epsilon;635,395,104,600,000,000.00000000;82
2010-05-06T00:02:00.0000000;Beta;6.34087E+017;577
2015-06-11T00:01:00.0000000;Lambda;635695776600000000;160
2011-02-04T00:01:00.0000000;Nu;6.343237446E+17;313
2018-08-16T00:01:00.0000000;Omega;6.36700E+017;646
2016-01-01T00:02:00.0000000;Beta;6.358720332E+17;339
2010-07-10T00:01:00.0000000;Rho;634,143,168,600,000,000.00000000;489
2011-07-19T00:02:00.0000000;Beta;6.344663052E+17;6
2016-04-14T00:02:00.0000000;Epsilon;6.35962E+017;598
2014-07-20T00:01:00.0000000;Upsilon;635414112600000000;743
2014-12-29T00:02:00.0000000;Xi;635554081200000000;927
2011-05-23T00:01:00.0000000;Sigma;6.344170566E+17;823
2017-07-12T00:01:00.0000000;Alpha;6.36354E+017;774
2014-08-16T00:01:00.0000000;Lambda;6.354374406E+17;316
2017-03-19T00:02:00.0000000;Gamma;636,254,785,200,000,000.00000000;67
2017-07-03T00:01:00.0000000;Lambda;636346368600000000;898
2010-09-28T00:02:00.0000000;Upsilon;6.342122892E+17;262
2017-03-28T00:01:00.0000000;Beta;6.362625606E+17;977
2018-07-21T00:01:00.0000000;Omicron;636,677,280,600,000,000.00000000;986
2011-08-27T00:01:00.0000000;Theta;634500000600000000;156
2019-07-13T00:03:00.0000000;Tau;6.369857298E+17;488
2013-05-15T00:02:00.0000000;Psi;6.350417292E+17;741
2018-07-19T00:01:00.0000000;Mu;636675552600000000;935
2010-05-01T00:02:00.0000000;Kappa;634082689200000000;411
2017-07-08T00:01:00.0000000;Tau;636,350,688,600,000,000.00000000;315
2016-08-03T00:01:00.0000000;Phi;6.36058E+017;237
2015-04-25T00:02:00.0000000;Rho;6.356551692E+17;282
2018-08-04T00:02:00.0000000;Omega;636689377200000000;505
2014-09-02T00:02:00.0000000;Epsilon;6.354521292E+17;249
2019-03-30T00:01:00.0000000;Alpha;636895008600000000;31
2017-07-08T00:02:00.0000000;Eta;636350689200000000;550
2015-03-09T00:01:00.0000000;Epsilon;635,614,560,600,000,000.00000000;571
2013-06-24T00:01:00.0000000;Iota;6.350762886E+17;103
2016-04-22T00:02:00.0000000;Epsilon;6.359688012E+17;51
2017-06-17T00:01:00.0000000;Kappa;636332544600000000;365
2011-01-23T00:02:00.0000000;Pi;634313377200000000;527
2010-12-08T00:02:00.0000000;Zeta;6.34274E+017;242
2015-02-22T00:02:00.0000000;Sigma;635601601200000000;151
2011-05-31T00:02:00.0000000;Lambda;634,423,969,200,000,000.00000000;283
2019-04-24T00:01:00.0000000;Delta;636916608600000000;716
2011-04-25T00:01:00.0000000;Psi;634392864600000000;756
2015-03-15T00:02:00.0000000;Phi;6.35620E+017;693
2012-01-18T00:01:00.0000000;Tau;6.346244166E+17;703
2010-07-03T00:01:00.0000000;Psi;6.341371206E+17;982
2013-09-02T00:01:00.0000000;Chi;6.351367686E+17;534
2010-09-03T00:02:00.0000000;Iota;634,190,689,200,000,000.00000000;944
2016-03-30T00:02:00.0000000;Rho;6.359489292E+17;778
2012-05-09T00:01:00.0000000;Lambda;634721184600000000;448
2016-03-13T00:02:00.0000000;Xi;6.359342412E+17;244
2013-10-27T00:02:00.0000000;Rho;6.351842892E+17;472
2017-04-20T00:03:00.0000000;Upsilon;636282433800000000;126
2019-03-27T00:01:00.0000000;Eta;6.368924166E+17;431
2013-10-10T00:01:00.0000000;Sigma;6.351696006E+17;773
2015-03-05T00:02:00.0000000;Alpha;635611105200000000;830
2011-11-24T00:02:00.0000000;Kappa;6.345768972E+17;536
2013-05-27T00:02:00.0000000;Lambda;635052097200000000;638
2010-07-25T00:01:00.0000000;Zeta;634156128600000000;526
2013-02-16T00:01:00.0000000;Omicron;6.349656966E+17;610
2015-06-07T00:02:00.0000000;Theta;635,692,321,200,000,000.00000000;495
2013-04-03T00:02:00.0000000;Kappa;635005441200000000;966
2018-10-17T00:02:00.0000000;Alpha;636753313200000000;873
2016-05-16T00:01:00.0000000;Psi;635,989,536,600,000,000.00000000;509
2019-08-23T00:03:00.0000000;Kappa;637,021,153,800,000,000.00000000;499
2018-11-24T00:02:00.0000000;Alpha;636,786,145,200,000,000.00000000;531
2018-08-06T00:03:00.0000000;Theta;636691105800000000;682
2016-08-08T00:03:00.0000000;Beta;6.360621138E+17;228
2013-12-17T00:02:00.0000000;Lambda;6.35228E+017;737
2016-11-16T00:01:00.0000000;Pi;636148512600000000;77
2019-12-03T00:02:00.0000000;Epsilon;6.371092812E+17;462
2010-03-01T00:02:00.0000000;Beta;634029985200000000;582
2014-08-31T00:03:00.0000000;Nu;6.354504018E+17;654
2016-02-18T00:03:00.0000000;Upsilon;635913505800000000;487
2010-01-22T00:01:00.0000000;Pi;6.339971526E+17;91
2011-01-12T00:02:00.0000000;Theta;6.34304E+017;225
2014-05-13T00:01:00.0000000;Omicron;6.353553606E+17;42
2014-11-08T00:01:00.0000000;Lambda;6.35510E+017;488
2012-01-11T00:02:00.0000000;Sigma;6.34618E+017;735
2018-10-13T00:01:00.0000000;Sigma;6.367498566E+17;799
2017-03-08T00:01:00.0000000;Zeta;6.36245E+017;84
2017-05-03T00:01:00.0000000;Omicron;6.36294E+017;448
2012-04-27T00:01:00.0000000;Upsilon;634710816600000000;720
2010-03-12T00:03:00.0000000;Nu;6.340394898E+17;419
2016-01-01T00:02:00.0000000;Omega;6.358720332E+17;681
2017-01-20T00:02:00.0000000;Lambda;636204673200000000;800
2019-12-15T00:02:00.0000000;Nu;6.37120E+017;738
2010-07-06T00:01:00.0000000;Eta;6.341397126E+17;991
2018-01-05T00:02:00.0000000;Xi;636507073200000000;724
2012-03-13T00:02:00.0000000;Beta;634671937200000000;250
2013-05-07T00:03:00.0000000;Alpha;635,034,817,800,000,000.00000000;620
2012-02-03T00:02:00.0000000;Epsilon;6.346382412E+17;46
2014-07-11T00:02:00.0000000;Nu;6.354063372E+17;922
2018-02-20T00:02:00.0000000;Zeta;6.365468172E+17;591
2013-05-19T00:03:00.0000000;Rho;6.350451858E+17;96
2010-11-10T00:01:00.0000000;Tau;6.342494406E+17;956
2010-05-18T00:01:00.0000000;Kappa;634,097,376,600,000,000.00000000;868
2012-04-01T00:02:00.0000000;Gamma;634688353200000000;293
2012-07-14T00:04:00.0000000;Alpha;6.347782104E+17;572
2014-08-27T00:01:00.0000000;Chi;6.35447E+017;769
2016-12-22T00:04:00.0000000;Upsilon;6.36180E+017;930
2011-10-08T00:02:00.0000000;Chi;634536289200000000;366
2018-11-14T00:01:00.0000000;Rho;6.36778E+017;324
2017-01-15T00:03:00.0000000;Lambda;6.362003538E+17;693
2017-11-28T00:02:00.0000000;Iota;636,474,241,200,000,000.00000000;619
2012-12-03T00:02:00.0000000;Upsilon;6.349008972E+17;603
