TM;Category;unknown;Quantity
2012-09-07T00:01:00.0000000;Sigma;6.348257286E+17;722
2018-04-18T00:01:00.0000000;Rho;6.365960646E+17;677
2018-02-17T00:01:00.0000000;Omega;6.365442246E+17;566
2014-11-07T00:01:00.0000000;Upsilon;6.35509E+017;32
2019-01-12T00:01:00.0000000;Rho;6.368284806E+17;0
2019-06-11T00:01:00.0000000;Phi;636958080600000000;790
2011-08-22T00:01:00.0000000;Zeta;6.344956806E+17;393
2013-01-16T00:01:00.0000000;Upsilon;634938912600000000;755
2013-03-22T00:01:00.0000000;Nu;6.34995E+017;252
2014-12-20T00:01:00.0000000;Psi;6.355463046E+17;543
2016-07-22T00:01:00.0000000;Nu;6.360474246E+17;288
2013-08-26T00:01:00.0000000;Beta;635,130,720,600,000,000.00000000;130
2019-05-04T00:01:00.0000000;Alpha;636925248600000000;397
2011-06-24T00:01:00.0000000;Sigma;634444704600000000;7
2013-03-26T00:01:00.0000000;Zeta;6.349985286E+17;869
2016-09-23T00:01:00.0000000;Upsilon;636101856600000000;663
2017-01-25T00:01:00.0000000;Tau;636,208,992,600,000,000.00000000;495
2017-09-01T00:02:00.0000000;Rho;636398209200000000;170
2012-12-06T00:01:00.0000000;Zeta;6.349034886E+17;408
2018-01-04T00:02:00.0000000;Tau;636,506,209,200,000,000.00000000;773
2010-02-20T00:01:00.0000000;Upsilon;634022208600000000;87
2011-03-03T00:01:00.0000000;Beta;634,347,072,600,000,000.00000000;835
2015-07-05T00:01:00.0000000;Omega;6.357165126E+17;620
2016-10-11T00:01:00.0000000;Delta;636117408600000000;998
2013-05-01T00:01:00.0000000;Gamma;6.350296326E+17;477
2018-10-17T00:01:00.0000000;Mu;636753312600000000;796
2012-08-13T00:01:00.0000000;Pi;634804128600000000;114
2016-03-17T00:01:00.0000000;Sigma;6.359376966E+17;9
2017-07-26T00:02:00.0000000;Chi;636366241200000000;828
2010-07-26T00:01:00.0000000;Psi;634156992600000000;36
2013-03-28T00:02:00.0000000;Epsilon;635000257200000000;196
2012-07-10T00:02:00.0000000;Gamma;6.34775E+017;931
2012-03-24T00:01:00.0000000;Rho;6.34681E+017;189
2011-05-04T00:02:00.0000000;Rho;6.344006412E+17;560
2014-03-24T00:01:00.0000000;Chi;6.353121606E+17;25
2017-08-08T00:02:00.0000000;Theta;636377473200000000;620
